Train Time,Train Bid_ask_spread,Test Time,Test Bid_ask_spread,Predicted Train Time,Predicted Bid_ask_spread
07:38:08,20.27,,,07:38:08,20.27
07:38:09,16.47,,,07:38:09,16.47
07:38:10,156.71,,,07:38:10,156.71
07:38:11,119.42,,,07:38:11,119.42
07:38:12,109.35,,,07:38:12,109.35
07:38:13,40.79,,,07:38:13,40.79
07:38:14,40.0,,,07:38:14,40.0
07:38:15,38.7,,,07:38:15,38.7
07:38:16,34.38,,,07:38:16,34.38
07:38:17,35.12,,,07:38:17,35.12
07:38:18,32.88,,,07:38:18,32.88
07:38:19,29.51,,,07:38:19,29.51
07:38:20,29.94,,,07:38:20,29.94
07:38:21,25.91,,,07:38:21,25.91
07:38:22,22.14,,,07:38:22,22.14
07:38:23,15.88,,,07:38:23,15.88
07:38:24,15.77,,,07:38:24,15.77
07:38:25,13.0,,,07:38:25,13.0
07:38:26,10.6,,,07:38:26,10.6
07:38:27,6.79,,,07:38:27,6.79
07:38:28,2.71,,,07:38:28,2.71
07:38:29,2.36,,,07:38:29,2.36
07:38:30,1.1,,,07:38:30,1.1
07:38:31,1.0,,,07:38:31,1.0
07:38:32,137.09,,,07:38:32,137.09
07:38:33,322.0,,,07:38:33,322.0
07:38:34,136.62,,,07:38:34,136.62
07:38:35,56.77,,,07:38:35,56.77
07:38:36,52.71,,,07:38:36,52.71
07:38:37,50.4,,,07:38:37,50.4
07:38:38,52.11,,,07:38:38,52.11
07:38:39,50.19,,,07:38:39,50.19
07:38:40,37.86,,,07:38:40,37.86
07:38:41,18.93,,,07:38:41,18.93
07:38:42,17.44,,,07:38:42,17.44
07:38:43,15.14,,,07:38:43,15.14
07:38:44,11.81,,,07:38:44,11.81
07:38:45,11.89,,,07:38:45,11.89
07:38:46,8.94,,,07:38:46,8.94
07:38:47,4.92,,,07:38:47,4.92
07:38:48,1.19,,,07:38:48,1.19
07:38:49,2.6,,,07:38:49,2.6
07:38:50,17.62,,,07:38:50,17.62
07:38:51,157.85,,,07:38:51,157.85
07:38:52,54.47,,,07:38:52,54.47
07:38:53,74.73,,,07:38:53,74.73
07:38:54,71.78,,,07:38:54,71.78
07:38:55,64.9,,,07:38:55,64.9
07:38:56,36.0,,,07:38:56,36.0
07:38:57,143.63,,,07:38:57,143.63
07:38:58,84.98,,,07:38:58,84.98
07:38:59,5.0,,,07:38:59,5.0
07:39:00,106.55,,,07:39:00,106.55
07:39:01,84.86,,,07:39:01,84.86
07:39:02,83.9,,,07:39:02,83.9
07:39:03,86.53,,,07:39:03,86.53
07:39:04,21.51,,,07:39:04,21.51
07:39:05,1.0,,,07:39:05,1.0
07:39:06,3.39,,,07:39:06,3.39
07:39:07,147.0,,,07:39:07,147.0
07:39:08,242.75,,,07:39:08,242.75
07:39:09,150.33,,,07:39:09,150.33
07:39:10,149.02,,,07:39:10,149.02
07:39:11,55.67,,,07:39:11,55.67
07:39:12,38.78,,,07:39:12,38.78
07:39:13,23.48,,,07:39:13,23.48
07:39:14,8.4,,,07:39:14,8.4
07:39:15,5.85,,,07:39:15,5.85
07:39:16,7.0,,,07:39:16,7.0
07:39:17,102.83,,,07:39:17,102.83
07:39:18,25.15,,,07:39:18,25.15
07:39:19,32.64,,,07:39:19,32.64
07:39:20,9.91,,,07:39:20,9.91
07:39:21,1.91,,,07:39:21,1.91
07:39:22,143.81,,,07:39:22,143.81
07:39:23,269.8,,,07:39:23,269.8
07:39:24,291.0,,,07:39:24,291.0
07:39:25,320.07,,,07:39:25,320.07
07:39:26,102.22,,,07:39:26,102.22
07:39:27,157.47,,,07:39:27,157.47
07:39:28,115.33,,,07:39:28,115.33
07:39:29,40.0,,,07:39:29,40.0
07:39:30,44.09,,,07:39:30,44.09
07:39:31,41.55,,,07:39:31,41.55
07:39:32,50.8,,,07:39:32,50.8
07:39:33,45.35,,,07:39:33,45.35
07:39:34,1.8,,,07:39:34,1.8
07:39:35,22.88,,,07:39:35,22.88
07:39:36,170.33,,,07:39:36,170.33
07:39:37,2.62,,,07:39:37,2.62
07:39:38,63.07,,,07:39:38,63.07
07:39:39,248.34,,,07:39:39,248.34
07:39:40,188.5,,,07:39:40,188.5
07:39:41,60.11,,,07:39:41,60.11
07:39:42,8.89,,,07:39:42,8.89
07:39:43,7.62,,,07:39:43,7.62
07:39:44,6.44,,,07:39:44,6.44
07:39:45,4.08,,,07:39:45,4.08
07:39:46,2.4,,,07:39:46,2.4
07:39:47,3.44,,,07:39:47,3.44
07:39:48,1.63,,,07:39:48,1.63
07:39:49,2.0,,,07:39:49,2.0
07:39:50,1.33,,,07:39:50,1.33
07:39:51,1.5,,,07:39:51,1.5
07:39:52,21.43,,,07:39:52,21.43
07:39:53,15.78,,,07:39:53,15.78
07:39:54,10.0,,,07:39:54,10.0
07:39:55,9.8,,,07:39:55,9.8
07:39:56,8.23,,,07:39:56,8.23
07:39:57,8.0,,,07:39:57,8.0
07:39:58,5.68,,,07:39:58,5.68
07:39:59,4.35,,,07:39:59,4.35
07:40:00,5.23,,,07:40:00,5.23
07:40:01,3.92,,,07:40:01,3.92
07:40:02,3.49,,,07:40:02,3.49
07:40:03,4.19,,,07:40:03,4.19
07:40:04,4.88,,,07:40:04,4.88
07:40:05,3.95,,,07:40:05,3.95
07:40:06,64.2,,,07:40:06,64.2
07:40:07,98.41,,,07:40:07,98.41
07:40:08,254.57,,,07:40:08,254.57
07:40:09,88.76,,,07:40:09,88.76
07:40:10,64.96,,,07:40:10,64.96
07:40:11,11.97,,,07:40:11,11.97
07:40:12,12.11,,,07:40:12,12.11
07:40:13,8.62,,,07:40:13,8.62
07:40:14,5.11,,,07:40:14,5.11
07:40:15,3.81,,,07:40:15,3.81
07:40:16,5.31,,,07:40:16,5.31
07:40:17,1.0,,,07:40:17,1.0
07:40:18,6.54,,,07:40:18,6.54
07:40:19,8.67,,,07:40:19,8.67
07:40:20,7.18,,,07:40:20,7.18
07:40:21,4.76,,,07:40:21,4.76
07:40:22,7.39,,,07:40:22,7.39
07:40:23,4.88,,,07:40:23,4.88
07:40:24,1.98,,,07:40:24,1.98
