,Predicted Train Time,Predicted Mid-Price,Buy/Sell,Trade_Action_Percentile,Trade_Action_Tighter
465,14:25:45,316.9476901730691,Hold,Hold,Hold
466,14:25:46,316.9476901730691,Hold,Hold,Hold
467,14:25:47,316.9476901730691,Hold,Hold,Hold
468,14:25:48,316.9476901730691,Hold,Hold,Hold
469,14:25:49,316.9476901730691,Hold,Hold,Hold
470,14:25:50,316.9476901730691,Hold,Hold,Hold
471,14:25:51,316.9476901730691,Hold,Hold,Hold
472,14:25:52,316.9476901730691,Hold,Hold,Hold
473,14:25:53,316.9476901730691,Hold,Hold,Hold
474,14:25:54,316.9476901730691,Hold,Hold,Hold
475,14:25:55,316.9476901730691,Hold,Hold,Hold
476,14:25:56,316.9476901730691,Hold,Hold,Hold
477,14:25:57,316.9476901730691,Hold,Hold,Hold
478,14:25:58,316.9476901730691,Hold,Hold,Hold
479,14:25:59,316.9476901730691,Hold,Hold,Hold
480,14:26:00,316.9476901730691,Hold,Hold,Hold
481,14:26:01,316.9476901730691,Hold,Hold,Hold
482,14:26:02,316.9476901730691,Hold,Hold,Hold
483,14:26:03,316.9476901730691,Hold,Hold,Hold
484,14:26:04,316.9476901730691,Hold,Hold,Hold
485,14:26:05,316.9476901730691,Hold,Hold,Hold
486,14:26:06,316.9476901730691,Hold,Hold,Hold
487,14:26:07,316.9476901730691,Hold,Hold,Hold
488,14:26:08,316.9476901730691,Hold,Hold,Hold
489,14:26:09,316.9476901730691,Hold,Hold,Hold
490,14:26:10,316.9476901730691,Hold,Hold,Hold
491,14:26:11,316.9476901730691,Hold,Hold,Hold
