,DateTime_Hour,Bid1_Price,Bid1_Volume,Ask1_Price,Ask1_Volume,Bid2_Price,Bid2_Volume,Ask2_Price,Ask2_Volume,Mid-Price,Bid_Ask_Spread,Market_Depth_Bid,Market_Depth_Ask,Historical_Volatility,Total_volume,Cumulative_Volume_Difference,Total_Volume_Change_Corrected,Order_imbalance,Trade_Price_Min,Trade_Price_Max,Trade_Volume,Trade_Price_Mean,MACD_DIF,MACD_DEA,MACD,K,D,J
49,2025-01-09 11:00:00,346.83,178160.0,353.74,115783.0,342.97,180445.0,360.88,130376.0,350.29,6.92,358605.0,246159.0,2.13,604764,112446.0,149.5,0.12,333.0,360.0,4797.0,349.02,2.5964420739827574,4.86101486915376,-2.264572795171002,51.26211474694511,37.69563788642034,78.39506846799463
50,2025-01-09 12:00:00,345.43,166620.0,353.0,109648.0,341.45,173251.0,360.69,115724.0,349.22,7.57,339871.0,225372.0,2.31,565243,114499.0,205.0,0.13,333.0,362.0,4567.0,349.04,3.5990876216524725,4.608629419653502,-1.0095417980010293,59.65353104341796,45.014935605419545,88.93072191941481
51,2025-01-09 13:00:00,332.9,194093.0,339.73,135922.0,329.33,209627.0,345.94,142021.0,336.32,6.82,403720.0,277943.0,1.93,681663,125777.0,-723.5,0.13,315.0,354.0,5106.0,334.19,3.1590054994944694,4.318704635621696,-1.1596991361272266,56.247808574399855,48.759226595079646,71.22497253304026
52,2025-01-09 14:00:00,318.44,168828.0,325.35,112678.0,314.68,188397.0,336.23,121938.0,321.89,6.91,357225.0,234616.0,2.62,591841,122609.0,-3025.0,0.15,305.0,334.0,4808.0,319.81,1.631089244248244,3.781181557347006,-2.150092313098762,46.159357763050195,47.89260365106983,42.69286598701093
53,2025-01-09 15:00:00,316.11,162745.0,323.24,110483.0,311.68,183161.0,337.65,116807.0,319.68,7.13,345906.0,227290.0,2.71,573196,118616.0,-2173.5,0.15,306.0,328.0,4827.0,317.55,0.23513104718352906,3.071971455314311,-2.836840408130782,38.11208646191651,44.632431254685386,25.07139687637877
54,2025-01-10 07:00:00,320.55,94447.0,329.21,57771.0,316.27,102450.0,341.93,60863.0,324.88,8.66,196897.0,118634.0,2.94,315531,78263.0,187.0,0.18,311.2,331.0,2557.0,322.7,-0.4504217402281938,2.3674928162058104,-2.8179145564340042,35.758934834260124,41.67459911454363,23.927606273693115
55,2025-01-10 08:00:00,317.52,193143.0,324.71,122134.0,314.06,195464.0,336.62,131552.0,321.11,7.2,388607.0,253686.0,2.57,642293,134921.0,295.0,0.15,307.0,330.0,5372.0,319.53,-1.2352802290524778,1.646938207154153,-2.8822184362066308,32.33636591289854,38.56185471399527,19.885388310705096
56,2025-01-10 09:00:00,319.28,171775.0,328.71,110106.0,314.27,181417.0,344.97,117237.0,323.99,9.43,353192.0,227343.0,3.79,580535,125849.0,838.5,0.16,308.0,331.0,5326.0,321.32,-1.6933285581420705,0.9788848540949082,-2.672213412236979,31.101436924388494,36.075048784126345,21.154213204912793
57,2025-01-10 10:00:00,319.42,182106.0,327.04,121147.0,315.46,190851.0,338.89,125375.0,323.23,7.62,372957.0,246522.0,2.67,619479,126435.0,738.0,0.15,308.0,333.0,5382.0,321.84,-1.9914196586180424,0.38482395155231813,-2.3762436101703606,30.582244499299918,34.244114022517536,23.258505452864682
58,2025-01-10 11:00:00,321.27,170015.0,328.71,107209.0,317.26,172663.0,337.52,113702.0,324.99,7.44,342678.0,220911.0,2.17,563589,121767.0,803.5,0.16,309.0,333.0,4706.0,323.43,-2.075434969149228,-0.10722783258799107,-1.968207136561237,31.165940777311064,33.21805627411538,27.061709783702426
59,2025-01-10 12:00:00,308.66,174854.0,317.14,112651.0,304.62,175918.0,332.07,127626.0,312.9,8.48,350772.0,240277.0,3.19,591049,110495.0,720.5,0.13,295.0,326.0,5391.0,311.3,-3.085242577466772,-0.7028307815637473,-2.3824117959030247,29.986333399563314,32.14081531593136,25.677369566827224
60,2025-01-10 13:00:00,307.09,179163.0,314.53,120107.0,303.22,194699.0,325.3,132973.0,310.81,7.43,373862.0,253080.0,2.62,626942,120782.0,-604.0,0.14,297.0,319.0,5321.0,309.16,-4.011955175693174,-1.3646556603896327,-2.6472995153035415,32.09345303560633,32.12502788915635,32.03030332850629
61,2025-01-10 14:00:00,299.12,182528.0,305.82,116586.0,295.55,192409.0,316.84,126543.0,302.47,6.71,374937.0,243129.0,2.08,618066,131808.0,-2374.0,0.16,288.67,313.0,5199.0,300.94,-5.3480182634694415,-2.1613281810055947,-3.186690082463847,30.621892970425264,31.623982916245986,28.617713078783822
62,2025-01-10 15:00:00,292.44,147341.0,299.24,99663.0,289.72,153979.0,307.27,105674.0,295.84,6.8,301320.0,205337.0,1.92,506657,95983.0,-1903.5,0.13,285.0,300.0,4017.0,292.94,-6.972021899038168,-3.1234669246121096,-3.8485549744260585,25.928484202505732,29.725483344999237,18.334485917518727
63,2025-01-13 07:00:00,286.64,54301.0,306.51,35756.0,282.57,51069.0,346.4,36782.0,296.57,19.86,105370.0,72538.0,7.35,177908,32832.0,-970.5,0.13,276.0,295.0,1875.0,288.16,-8.54624672007867,-4.208022883705422,-4.338223836373248,24.396767246114948,27.94924464537114,17.29181244760256
64,2025-01-13 08:00:00,294.14,162806.0,311.84,110758.0,288.19,167297.0,340.59,120063.0,302.99,17.7,330103.0,230821.0,6.73,560924,99282.0,-169.0,0.12,280.0,309.0,5773.0,296.13,-9.046437144311824,-5.1757057358267025,-3.8707314084851214,28.036441321971363,27.97831020423788,28.15270355743833
65,2025-01-13 09:00:00,301.32,152778.0,328.11,106436.0,293.73,147196.0,364.41,110262.0,314.72,26.79,299974.0,216698.0,9.24,516672,83276.0,-803.5,0.12,289.0,312.6,6124.0,303.04,-8.78400585681004,-5.89736576002337,-2.88664009678667,34.50382637839028,30.153482262288676,43.20451461059349
66,2025-01-13 10:00:00,300.36,156046.0,328.51,102967.0,291.73,163484.0,368.39,104963.0,314.44,28.15,319530.0,207930.0,10.01,527460,111600.0,-570.5,0.15,289.0,312.0,6012.0,301.91,-8.568437117521626,-6.431580031523022,-2.136857085998604,38.1545977025526,32.82052074237665,48.822751622904505
67,2025-01-13 11:00:00,310.59,155781.0,345.89,95057.0,301.76,148192.0,394.89,97912.0,328.24,35.3,303973.0,192969.0,13.29,496942,111004.0,-2249.5,0.16,293.0,323.0,6140.0,311.88,-7.506570588249872,-6.6465781428683925,-0.8599924453814793,49.3563984683684,38.3324799843739,71.40423543635738
68,2025-01-13 12:00:00,311.85,163123.0,335.43,106450.0,303.31,167138.0,369.71,112070.0,323.64,23.57,330261.0,218520.0,8.39,548781,111741.0,667.0,0.14,299.0,331.0,5992.0,314.23,-6.40161452584897,-6.597585419464509,0.19597089361553888,56.07396261527592,44.246307528007904,79.72927278981194
69,2025-01-13 13:00:00,327.64,162165.0,336.25,117284.0,323.25,165630.0,347.75,122491.0,331.95,8.61,327795.0,239775.0,2.84,567570,88020.0,-704.5,0.1,311.0,345.0,5046.0,330.71,-4.148311462419713,-6.10773062805555,1.959419165635837,63.812593434338524,50.768402830118106,89.90097464277937
70,2025-01-13 14:00:00,332.11,171367.0,348.93,110209.0,325.67,172142.0,379.07,108857.0,340.52,16.82,343509.0,219066.0,6.71,562575,124443.0,-507.5,0.17,320.0,346.0,5953.0,334.82,-2.0077656268279043,-5.287737627810021,3.2799720009821165,70.5512527657495,57.36268614199523,96.92838601325802
71,2025-01-13 15:00:00,332.48,152983.0,343.22,108983.0,326.46,166740.0,360.98,112849.0,337.85,10.74,319723.0,221832.0,3.94,541555,97891.0,2024.5,0.13,322.0,348.25,5142.0,336.14,-0.2025201359588209,-4.27069412943978,4.0681739934809595,74.78041995225283,63.1685974120811,98.00406503259629
72,2025-01-14 07:00:00,335.36,95497.0,342.6,64175.0,331.63,95834.0,352.65,72345.0,338.98,7.24,191331.0,136520.0,2.47,327851,54811.0,-78.0,0.11,322.0,351.0,2584.0,337.24,1.30190319889266,-3.1561746637732924,4.458077862665952,76.72685273812161,67.6880158540946,94.80452650617562
73,2025-01-14 08:00:00,339.66,193320.0,346.96,120979.0,335.51,188048.0,354.8,130051.0,343.31,7.31,381368.0,251030.0,2.23,632398,130338.0,-14.0,0.15,324.0,354.5,5051.0,341.71,2.822327142734764,-1.960474302471681,4.782801445206445,77.97566263966377,71.11723144928432,91.69252502042266
74,2025-01-14 09:00:00,340.31,174110.0,347.66,120278.0,336.18,177435.0,357.88,130174.0,343.99,7.35,351545.0,250452.0,2.39,601997,101093.0,-321.0,0.11,329.5,354.0,5241.0,343.05,4.0882737979645185,-0.7507246823844411,4.83899848034896,79.49013641626439,73.90819977161101,90.65400970557116
75,2025-01-14 10:00:00,339.0,190733.0,346.5,123233.0,335.13,195382.0,357.5,132526.0,342.75,7.5,386115.0,255759.0,2.79,641874,130356.0,-561.0,0.13,324.0,353.0,5143.0,340.97,4.867596404791641,0.37293953505077526,4.494656869740866,78.9934242775096,75.60327460691053,85.77372361870775
76,2025-01-14 11:00:00,334.0,190755.0,340.98,124409.0,329.62,194704.0,350.97,137779.0,337.49,6.99,385459.0,262188.0,2.47,647647,123271.0,212.0,0.13,320.0,347.0,5176.0,335.63,4.996722704672834,1.297696168975187,3.699026535697647,74.66228285167307,75.28961068849804,73.40762717802312
77,2025-01-14 12:00:00,331.23,184426.0,338.8,119838.0,327.16,182832.0,350.29,128781.0,335.02,7.56,367258.0,248619.0,2.57,615877,118639.0,1059.0,0.13,319.0,346.0,5031.0,333.86,4.8997507435577745,2.018107083891705,2.8816436596660697,67.29209661375907,72.62377266358506,56.6287445141071
78,2025-01-14 13:00:00,324.39,143824.0,331.78,99586.0,320.56,150550.0,347.89,104231.0,328.08,7.39,294374.0,203817.0,2.77,498191,90557.0,269.0,0.13,311.0,338.0,4453.0,325.46,4.09785247495131,2.4340561621036256,1.6637963128476843,55.94185751262098,67.06313427993037,33.699303978002206
79,2025-01-14 14:00:00,327.71,176583.0,334.51,118274.0,324.4,179499.0,343.78,122695.0,331.11,6.8,356082.0,240969.0,2.27,597051,115113.0,-2025.0,0.13,308.0,346.0,4673.0,328.58,3.671774316072174,2.6815997928973356,0.9901745231748382,52.04725984712365,62.057842802328125,32.02609393671469
80,2025-01-14 15:00:00,339.22,167117.0,346.54,108916.0,334.9,172851.0,355.99,117554.0,342.88,7.32,339968.0,226470.0,2.41,566438,113498.0,-408.0,0.14,322.0,355.25,4716.0,341.12,4.296450695114743,3.004569973340817,1.2918807217739259,58.06325259649513,60.72631273371712,52.73713232205114
81,2025-01-15 07:00:00,347.16,56155.0,355.88,38085.0,341.21,60123.0,365.18,44408.0,351.52,8.72,116278.0,82493.0,2.91,198771,33785.0,1901.0,0.13,337.0,357.0,1549.0,348.79,5.348758961371914,3.473407770947037,1.875351190424877,66.457134384058,62.636586617164085,74.0982299178458
82,2025-01-15 08:00:00,340.68,197433.0,348.51,125860.0,336.74,204545.0,357.8,139371.0,344.59,7.84,401978.0,265231.0,2.58,667209,136747.0,-360.0,0.14,326.0,352.0,5276.0,342.38,5.600923455318423,3.898910907821314,1.7020125474971088,67.69251135807947,64.32189486413588,74.43374434596666
83,2025-01-15 09:00:00,339.22,197671.0,346.63,127850.0,335.49,201719.0,354.91,143183.0,342.93,7.41,399390.0,271033.0,2.12,670423,128357.0,-745.0,0.13,324.0,352.0,5278.0,341.46,5.661269728862635,4.251382672029578,1.4098870568330568,67.89024566729105,65.51134513185428,72.6480467381646
