timestamp,price,number
25919.472,274.0,2
25923.006,278.0,1
25924.587,278.0,1
25928.586,279.0,6
25930.787,275.0,1
25931.996,281.0,2
25933.453,282.0,1
25939.281,276.0,3
25939.87,277.0,1
25940.118,276.0,3
25940.304,278.0,3
25941.699,282.0,13
25942.908,283.0,6
25943.714,285.0,1
25945.822,288.0,1
25946.721,284.0,3
25948.209,286.5,3
25952.704,286.0,5
25953.51,287.0,3
25954.006,288.0,1
25954.285,285.0,3
25954.843,285.0,3
25955.68,285.0,3
25957.075,284.0,4
25957.354,284.0,2
25958.067,284.0,3
25963.089,281.0,5
25965.445,281.0,4
25965.538,281.0,1
25966.065,285.0,3
25969.258,288.0,1
25969.413,288.0,3
25978.558,291.0,2
25978.682,289.5,2
25978.775,287.0,4
25981.1,287.0,3
25982.619,292.0,5
25989.439,294.0,4
25989.625,293.0,3
25993.283,293.0,3
25993.345,293.0,1
25993.841,293.0,5
25994.461,292.5,4
25995.267,292.0,2
25998.708,292.0,2
25998.739,292.0,4
26001.746,291.5,2
26002.459,292.0,2
26002.955,293.0,1
26007.419,292.0,3
26012.162,294.0,3
26012.906,291.0,3
26013.247,291.0,2
26014.084,290.0,2
26014.642,291.0,4
26014.89,291.0,4
26015.665,291.0,1
26015.944,292.0,5
26018.455,291.5,5
26026.298,291.0,3
26027.352,286.7,3
26028.065,284.0,2
26028.158,285.0,1
26028.22,284.0,5
26029.336,284.0,1
26029.553,284.0,4
26031.692,286.0,4
26033.335,287.0,5
26033.955,288.0,2
26035.567,289.0,1
26036.714,294.0,1
26038.016,285.5,4
26041.86,286.0,2
26044.092,283.0,1
26044.402,282.0,1
26044.991,279.0,1
26045.766,279.0,3
26047.378,283.0,1
26047.471,283.0,2
26048.308,284.0,2
26050.881,289.0,2
26051.997,288.0,4
26052.896,291.0,1
26053.795,291.0,1
26054.911,285.0,4
26056.306,287.0,3
26058.104,287.0,3
26059.344,288.0,1
26060.119,288.0,4
26063.963,294.0,4
26065.482,294.0,3
26071.372,294.0,4
26071.837,293.5,2
26072.24,293.0,2
26075.743,291.0,4
26078.223,288.0,3
26078.998,288.0,2
26080.982,287.0,2
26081.354,286.0,2
26081.912,287.0,2
26084.392,291.3,5
26087.058,285.3,4
26087.089,281.0,2
26090.406,283.5,4
26092.173,284.0,2
26093.878,283.0,2
26099.365,280.0,2
26101.163,286.0,2
26101.876,286.0,5
26103.271,285.7,3
26103.705,288.0,1
26107.053,288.0,2
26110.68,288.0,2
26111.734,291.5,8
26112.23,279.0,1
26115.64,290.0,2
26116.012,291.0,1
26116.322,292.0,1
26116.57,293.0,1
26117.252,284.0,1
26117.407,279.5,5
26120.6,279.0,3
26120.755,281.0,1
26122.181,283.7,7
26128.009,293.0,1
26128.815,291.0,1
26128.908,290.0,4
26128.97,290.0,3
26134.705,286.0,3
26136.751,285.3,5
26137.681,284.0,2
26139.51,287.0,2
26140.13,286.0,2
26141.277,286.0,2
26141.494,284.5,4
26142.331,285.0,3
26150.608,290.0,1
26150.887,291.0,4
26155.01,288.0,1
26155.072,290.0,2
26159.474,295.0,1
26161.055,294.0,2
26161.396,287.5,4
26162.047,287.0,1
26163.721,292.0,2
26165.178,289.0,4
26166.914,287.0,5
26175.067,293.5,2
26175.284,293.0,2
26175.532,293.0,1
26176.462,292.0,4
26179.748,287.0,1
26180.616,285.0,3
26181.515,285.0,3
26181.577,286.0,1
26181.608,285.0,1
26187.622,292.0,1
26188.614,292.0,3
26191.373,293.0,1
26192.148,292.5,3
26195.155,292.0,2
26196.178,288.7,5
26198.286,285.0,4
26199.433,283.5,4
26199.619,279.0,1
26200.394,284.0,1
26208.454,282.0,2
26208.95,282.0,1
26211.399,280.0,4
26211.864,284.5,8
26213.166,291.0,1
26213.662,292.0,1
26214.84,292.0,1
26215.088,291.0,1
26216.452,290.0,1
26216.979,289.0,4
26217.32,289.0,4
26219.428,292.0,4
26220.606,290.0,2
26221.722,289.0,2
26224.884,291.0,2
26225.318,287.0,1
26226.93,291.0,3
26228.883,294.0,1
26228.976,288.0,1
26229.193,288.0,1
26231.27,288.0,3
26231.58,287.5,4
26232.944,287.0,2
26234.556,286.0,1
26235.362,286.0,1
26236.695,287.0,2
26237.501,287.0,3
26241.066,293.5,5
26243.05,288.5,3
26247.638,288.0,2
26248.878,287.0,3
26250.831,287.0,4
26251.265,287.0,1
26252.691,286.0,1
26253.869,284.0,3
26255.388,281.0,1
26257.589,280.0,1
26258.24,280.7,8
26259.635,284.0,2
26261.433,288.0,3
26261.991,284.0,5
26266.3,284.0,1
26270.299,284.0,2
26270.392,283.0,3
26270.454,283.0,1
26271.043,286.0,1
26271.353,286.0,1
26273.492,282.0,5
26273.833,281.0,2
26275.972,283.0,2
26276.406,286.0,5
26277.522,290.0,2
26277.708,288.0,2
26280.064,291.0,1
26282.234,285.0,1
26282.73,286.0,1
26286.853,293.0,3
26287.473,288.0,3
26289.085,285.0,1
26291.255,285.0,4
26293.208,289.0,1
26296.432,287.5,5
26298.571,287.0,3
26298.757,287.0,2
26300.4,286.0,3
26301.454,287.0,2
26304.461,292.5,2
26305.236,292.0,3
26309.514,292.0,2
26310.661,291.0,1
26316.117,287.0,5
26317.884,287.0,4
26321.325,293.0,1
26321.604,285.0,2
26322.844,285.0,2
26326.161,288.0,2
26326.44,288.0,2
26327.029,285.0,5
26328.052,285.0,5
26328.238,286.0,1
26331.431,294.0,2
26338.344,286.5,2
26338.809,285.0,2
26340.979,287.0,4
26341.041,289.0,3
26341.816,286.5,3
26347.272,288.0,2
26352.015,290.0,1
26354.185,290.0,3
26355.146,287.0,3
26355.766,284.0,3
26357.781,289.0,1
26358.122,289.0,1
26358.215,290.0,3
26363.547,285.0,5
26365.128,284.0,4
26368.104,282.3,5
26372.01,294.0,2
26372.661,294.0,4
26375.141,291.0,2
26375.916,291.0,1
26376.691,288.0,2
26379.14,291.0,1
26380.566,292.0,3
26387.572,290.3,5
26391.602,292.5,5
26392.036,288.0,2
26393.586,289.0,2
26394.299,288.0,2
26395.57,286.0,3
26395.911,284.0,1
26396.779,288.0,1
26397.089,289.0,1
26398.329,287.3,5
26401.119,285.0,3
26406.296,294.0,1
26406.575,295.0,3
26408.528,290.0,1
26408.869,291.0,1
26411.07,291.0,1
26411.566,290.5,5
26417.797,288.0,1
26418.014,288.0,4
26418.386,287.0,1
26418.603,287.0,1
26421.579,285.5,4
26422.416,286.0,4
26424.617,287.0,4
26425.237,286.0,1
26426.043,284.0,5
26426.601,284.0,4
26428.368,284.0,1
26431.871,286.0,1
26433.638,290.5,4
26435.436,291.0,1
26436.459,290.0,3
26443.713,289.7,3
26446.472,290.0,1
26446.503,290.0,1
26454.408,294.0,3
26454.811,293.0,1
26455.834,288.5,5
26458.5,289.0,2
26459.585,285.3,4
26462.313,284.0,1
26463.646,284.0,2
26463.708,284.0,1
26464.824,282.0,1
26465.909,280.0,2
26466.188,274.0,1
26470.714,274.0,2
26473.876,274.0,1
26474.31,274.0,1
26475.426,275.0,1
26476.232,284.0,4
26477.565,283.0,7
26480.386,279.0,2
26480.541,282.0,1
26488.167,275.0,2
26490.678,274.0,1
26491.949,277.0,4
26492.104,280.3,6
26494.584,282.7,6
26495.452,281.0,1
26495.545,282.0,1
26495.793,283.0,3
26497.901,286.0,3
26499.234,287.0,4
26499.916,287.0,5
26500.009,285.0,2
26501.9,288.0,3
26502.396,289.0,2
26502.427,288.0,3
26504.194,292.0,5
26509.216,294.0,1
26509.991,294.0,1
26511.045,293.0,3
26515.044,290.0,1
26516.067,290.0,3
26519.136,289.0,1
26521.306,287.0,2
26521.895,285.0,4
26522.05,285.0,1
26522.329,285.0,3
26522.577,283.0,1
26524.158,283.0,2
26524.251,283.0,2
26526.669,280.0,2
26528.529,280.0,3
26530.916,279.0,4
26531.04,279.0,1
26531.412,279.0,2
26532.094,285.0,4
26536.093,286.0,2
