,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
154,1.03,0.95,45.66,0.12,0.04,0.02,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
155,1.03,0.95,45.66,0.12,0.04,0.03,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
156,1.03,0.95,45.66,0.12,0.05,0.01,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
157,1.03,0.95,45.66,0.12,0.05,0.02,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
158,1.03,0.95,45.66,0.12,0.05,0.03,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
159,1.03,0.95,45.66,0.12,0.06,0.01,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
160,1.03,0.95,45.66,0.12,0.06,0.02,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
161,1.03,0.95,45.66,0.12,0.06,0.03,52085.684800348725,63727,0.7060474346333179,0.45476899853917613,-0.999984616517136,0.006971665310598649
162,1.03,0.93,39.88200000000001,0.08,0.04,0.01,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
163,1.03,0.93,39.88200000000001,0.08,0.04,0.02,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
164,1.03,0.93,39.88200000000001,0.08,0.04,0.03,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
165,1.03,0.93,39.88200000000001,0.08,0.05,0.01,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
166,1.03,0.93,39.88200000000001,0.08,0.05,0.02,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
167,1.03,0.93,39.88200000000001,0.08,0.05,0.03,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
168,1.03,0.93,39.88200000000001,0.08,0.06,0.01,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
169,1.03,0.93,39.88200000000001,0.08,0.06,0.02,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
170,1.03,0.93,39.88200000000001,0.08,0.06,0.03,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
171,1.03,0.93,39.88200000000001,0.1,0.04,0.01,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
172,1.03,0.93,39.88200000000001,0.1,0.04,0.02,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
173,1.03,0.93,39.88200000000001,0.1,0.04,0.03,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
174,1.03,0.93,39.88200000000001,0.1,0.05,0.01,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
175,1.03,0.93,39.88200000000001,0.1,0.05,0.02,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
176,1.03,0.93,39.88200000000001,0.1,0.05,0.03,-9832.857049336526,63727,0.6912918098169055,0.44357830518149755,-2.1741193954531486,-0.0019577790059301147
