,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
291,1.05,0.97,42.82,0.12,0.05,0.01,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
292,1.05,0.97,42.82,0.12,0.05,0.02,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
293,1.05,0.97,42.82,0.12,0.05,0.03,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
294,1.05,0.97,42.82,0.12,0.06,0.01,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
295,1.05,0.97,42.82,0.12,0.06,0.02,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
296,1.05,0.97,42.82,0.12,0.06,0.03,51488.04585,63727,0.660077523,0.44898253,-0.926928402,0.007469752
387,1.05,0.95,45.66,0.1,0.04,0.01,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
388,1.05,0.95,45.66,0.1,0.04,0.02,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
389,1.05,0.95,45.66,0.1,0.04,0.03,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
390,1.05,0.95,45.66,0.1,0.05,0.01,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
391,1.05,0.95,45.66,0.1,0.05,0.02,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
392,1.05,0.95,45.66,0.1,0.05,0.03,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
393,1.05,0.95,45.66,0.1,0.06,0.01,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
394,1.05,0.95,45.66,0.1,0.06,0.02,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
395,1.05,0.95,45.66,0.1,0.06,0.03,51451.51398,63727,0.699656551,0.453738803,-0.926928402,0.007466345
612,1.07,0.95,42.82,0.12,0.04,0.01,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
