,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,RSI,True Trading Signals,ARIMA Trading Signal
6231,136.48185788875915,140.82,53.477336518784924,60.64,140.82,Hold,Hold
6232,145.2604525702035,153.13,77.00197685232101,87.14,153.13,Hold,Hold
6233,142.79427155760823,142.76,76.37120926391084,68.45,142.76,Hold,Hold
6234,137.84400543022173,133.69,55.90905482675023,46.01,133.69,Hold,Hold
6235,140.36391967290015,144.6,58.137554465288474,66.95,144.6,Hold,Hold
6236,148.34220177837062,157.95,73.33260531679771,96.54,157.95,Sell,Hold
6237,139.22141971333525,139.28,64.37692011145847,57.33,139.28,Hold,Hold
6238,138.86410868077778,126.08,57.67493422018659,36.81,126.08,Buy,Hold
6239,141.51913168875618,144.83,60.23496064334603,68.29,144.83,Sell,Hold
6240,137.09969157396566,144.99,62.703199497644334,74.1,144.99,Hold,Hold
6241,142.12918425699485,142.85,60.99912320441471,67.21,142.85,Hold,Hold
6242,141.1370097904407,143.16,65.70115819068192,67.95,143.16,Hold,Hold
6243,137.4082383151082,129.38,56.928980988478415,42.48,129.38,Buy,Hold
6244,137.34547177418696,131.6,59.424088390597696,42.05,131.6,Hold,Hold
6245,137.51108658956116,144.19,61.914724173188574,69.52,144.19,Sell,Hold
6246,140.68636738649,140.43,61.33362294777343,65.26,140.43,Hold,Hold
6247,138.51607571172715,140.73,63.20826307359922,63.23,140.73,Hold,Hold
6248,135.33531989551156,133.47,59.76046589915465,45.87,133.47,Hold,Hold
6249,132.26220741617624,110.62,41.05881968213332,5.99,110.62,Buy,Hold
6250,138.2274771415194,122.18,52.99411478243536,24.73,122.18,Hold,Hold
6251,110.43359353702317,123.04,28.87345374141047,27.49,123.04,Hold,Hold
6252,119.66427415348114,124.27,41.84094420169811,32.57,124.27,Hold,Hold
6253,102.44974373413595,109.4,16.020177260443226,4.64,109.4,Hold,Hold
6254,130.12307475574602,144.48,43.94690244722424,71.7,144.48,Sell,Hold
6255,118.20854251125692,127.94,36.716048912503155,35.22,127.94,Buy,Hold
6256,129.26469416866703,138.3,44.03483732474282,56.41,138.3,Hold,Hold
6257,132.43682080371207,132.48,47.09470653596206,44.12,132.48,Hold,Hold
6258,133.52737735479076,140.69,50.92707657005195,61.15,140.69,Hold,Hold
6259,141.7469832036298,145.57,66.487756440311,73.22,145.57,Sell,Hold
6260,139.59144212326524,140.36,61.19669376647215,58.56,140.36,Hold,Hold
