,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,ARIMA Trading Signal,True Trading Signals,Correct Prediction
8056,135.75485046990644,143.33,56.059078331894035,70.15,Buy,Sell,False
8057,135.16792395473823,129.45,57.199323245504935,45.23,Buy,Buy,True
8058,133.88003349210217,132.93,59.53612780697423,49.57,Buy,Hold,False
8059,132.27260301971734,123.85,54.236864508642064,33.22,Hold,Hold,True
8060,130.82638004425968,141.23,47.28188806254012,69.16,Buy,Hold,False
8061,130.40055305205365,134.91,47.529540721303626,54.64,Hold,Hold,True
8062,131.94870804974826,139.2,48.19800091459416,65.09,Sell,Hold,False
8063,136.51196778504524,145.27,56.81087177594584,77.05,Hold,Sell,False
8064,136.55044359448175,141.61,58.379184122904164,67.88,Buy,Hold,False
8065,136.42066609820156,138.4,61.342253524904606,61.93,Buy,Hold,False
8066,136.26732813157457,129.32,57.71488324681714,50.48,Hold,Buy,False
8067,136.24173879573902,142.2,60.17713317070779,71.71,Buy,Sell,False
8068,137.9705132763076,144.04,65.24318110500144,76.9,Sell,Hold,False
8069,142.24073472352273,150.67,75.63452709270896,89.76,Buy,Hold,False
8070,134.86240831346032,126.55,61.01847629823815,38.85,Hold,Buy,False
8071,134.39443806802825,130.69,60.76859122268145,48.82,Sell,Hold,False
8072,137.30880117347056,125.73,57.92246684019419,39.68,Hold,Hold,True
8073,137.66250532416691,149.69,60.65207459435239,86.46,Hold,Sell,False
8074,137.10007103244564,127.4,61.417468721089264,38.01,Buy,Hold,False
8075,131.0860541045019,118.95,58.22925997138225,22.43,Hold,Buy,False
8076,135.82661701094426,130.0,56.18396118271554,48.73,Hold,Hold,True
8077,120.18739187857446,116.17,29.450468833796634,35.49,Buy,Hold,False
8078,130.00627094277004,133.28,34.72648880798529,53.18,Hold,Hold,True
8079,128.7955085702768,120.78,33.91345324767157,27.82,Hold,Hold,True
8080,126.34397375638301,126.93,37.171727374340264,39.15,Sell,Hold,False
8081,128.92473103535622,135.98,41.004873793969146,56.56,Hold,Sell,False
8082,133.2753497506557,138.71,49.91446172733161,63.21,Buy,Hold,False
8083,130.51480282652005,128.07,48.03359619220778,43.29,Buy,Buy,True
8084,129.98116536689878,127.83,46.28060423987438,39.39,Sell,Hold,False
8085,131.82201341757383,131.19,47.46982276246352,50.55,Buy,Hold,False
8086,129.60222466115215,127.49,45.67733962090137,41.67,Sell,Hold,False
8087,133.88099575722308,146.22,51.854276727789376,79.07,Hold,Sell,False
8088,131.1044830848781,124.02,51.894853729917905,30.62,Hold,Buy,False
8089,130.15452860135392,129.73,44.853875042655105,44.15,Buy,Hold,False
8090,129.95475595248269,147.29,48.10325860587433,77.26,Sell,Hold,False
8091,134.07270995621514,135.25,48.979144285268355,55.33,Buy,Hold,False
8092,135.4030005940719,134.84,49.40091815732414,56.79,Buy,Hold,False
8093,136.01593119776507,132.95,47.70057786208957,51.39,Sell,Hold,False
8094,135.73380197199953,131.59,57.999420147660246,51.31,Hold,Hold,True
8095,136.87458901229888,143.08,59.514104415359306,76.49,Hold,Sell,False
8096,136.3566695781239,130.47,61.11248757450949,48.46,Hold,Buy,False
8097,136.18077611140956,134.52,54.93640907484003,56.95,Buy,Hold,False
8098,133.85305585544708,129.77,52.61035572806192,45.72,Buy,Hold,False
8099,133.43432482273664,143.45,56.962318014041486,73.2,Buy,Sell,False
8100,134.954518667282,136.51,58.09798179617708,58.68,Hold,Hold,True
8101,135.58286447332395,129.5,57.43842711157131,43.51,Buy,Buy,True
8102,132.53964281393922,121.27,51.76905375936851,31.43,Buy,Hold,False
8103,131.938209795232,147.17,48.26311158059038,78.39,Hold,Sell,False
8104,132.3524325766135,120.61,46.73750173271298,28.3,Hold,Buy,False
8105,130.08759819251964,148.99,53.48497679981127,84.0,Sell,Sell,True
8106,131.20860539696722,155.03,49.44174526129011,94.98,Buy,Hold,False
8107,135.54555445278874,138.93,55.4975225261835,60.76,Sell,Hold,False
8108,136.30133763631812,131.13,54.48338451929446,49.27,Buy,Buy,True
8109,136.38406737872623,146.3,59.37605979240665,79.61,Hold,Sell,False
8110,136.68021587268453,128.73,59.49684624631959,41.8,Buy,Buy,True
8111,135.1636135033107,127.86,56.711683944765014,43.1,Buy,Hold,False
8112,136.50969258791454,152.8,59.35773457039206,89.33,Hold,Sell,False
8113,141.13623004819692,142.15,59.63732638876483,71.07,Buy,Hold,False
8114,141.75610195297233,143.7,61.452461541569185,74.49,Sell,Hold,False
8115,142.19929708856367,141.48,62.97393032944244,66.5,Hold,Hold,True
8116,142.43933221469615,136.48,61.520461060386936,59.5,Hold,Hold,True
8117,138.60132380560546,136.75,61.664435623454644,58.9,Buy,Hold,False
8118,138.27968888414526,131.0,61.69756656826108,47.68,Sell,Buy,False
8119,137.7806330388856,137.42,61.112665099484175,59.74,Buy,Hold,False
8120,137.7762070452913,131.44,60.356950275916574,47.6,Hold,Hold,True
8121,137.93002336103055,127.42,60.50369552383764,41.77,Buy,Hold,False
8122,133.4727045544592,132.32,57.79872835167966,49.58,Hold,Hold,True
8123,138.33425936595017,140.74,61.459360634475004,66.01,Hold,Hold,True
8124,139.41581269200998,149.12,64.00537428051172,80.41,Hold,Sell,False
8125,131.2977520117806,129.42,58.16517021033379,47.45,Sell,Buy,False
8126,146.87659231887727,152.62,62.76014872386738,89.18,Buy,Sell,False
8127,137.40809634633604,131.61,60.08982603540708,47.57,Sell,Hold,False
8128,138.0026518546278,137.16,61.298909174286635,57.79,Buy,Hold,False
8129,136.66326605633662,128.61,59.57484142924052,43.53,Buy,Buy,True
8130,136.8409129423822,133.6,50.927304644599374,55.7,Sell,Hold,False
8131,131.5654851349815,130.81,52.72029603341097,50.6,Hold,Hold,True
8132,135.93425303230367,133.02,53.225688545214005,55.65,Buy,Hold,False
8133,138.09250856648302,162.67,60.4250254984046,110.35,Buy,Sell,False
8134,136.87621095357412,135.67,59.67037435241006,57.99,Hold,Buy,False
